PERIODO,MES,ISE,IC,IPI,AUTP,CC,VTP,VC,VEH,ACC,HER,FAT,URB,RUR,EASTER,TD,HERR,HERU,FATR,FATU
2005,1,60.84,96.02,73.13,"6,779","2,584","1,704",514,"11,581","3,528","3,099",429,"2,808",720,0,20,554,2545,166,263
2005,2,58.10,96.43,76.06,"7,676","3,338","1,836",811,"13,661","3,196","2,878",318,"2,703",493,0,20,391,2487,102,216
2005,3,61.61,97.15,80.34,"7,862","3,065","1,924",809,"13,660","3,305","2,893",412,"2,736",569,0,20,406,2487,163,249
2005,4,61.45,100.03,83.29,"9,102","3,309","2,145",974,"15,530","3,410","3,010",400,"2,841",569,1,21,425,2585,144,256
2005,5,62.88,99.78,82.15,"9,128","3,010","2,122",914,"15,174","3,395","3,036",359,"2,871",524,0,20,419,2617,105,254
2005,6,62.21,99.26,81.86,"8,934","3,157","2,238","1,017","15,346","3,172","2,762",410,"2,628",544,0,21,396,2366,148,262
2005,7,62.32,99.94,80.30,"8,656","2,827","2,251","1,026","14,760","3,590","3,122",468,"2,897",693,0,19,524,2598,169,299
2005,8,63.29,100.39,85.70,"9,258","3,087","2,371","1,071","15,787","3,420","3,003",417,"2,900",520,0,22,393,2610,127,290
2005,9,66.12,101.14,86.11,"9,833","3,295","3,164","1,162","17,454","3,370","2,986",384,"2,859",511,0,22,379,2607,132,252
2005,10,66.44,101.83,86.46,"9,117","3,171","3,069","1,186","16,543","3,365","2,982",383,"2,820",545,0,20,424,2558,121,262
2005,11,69.08,102.75,88.29,"9,868","3,152","1,911","1,493","16,424","2,910","2,522",388,"2,451",459,0,20,337,2185,122,266
2005,12,72.53,105.29,85.71,"11,374","3,317","1,556","1,343","17,590","2,825","2,349",476,"2,379",446,0,21,288,2061,158,318
2006,1,64.40,105.89,77.11,"9,108","2,811","1,363","1,098","14,380","4,020","3,572",448,"3,401",619,0,21,474,3098,145,303
2006,2,60.62,106.61,80.15,"10,923","3,140","2,233","1,175","17,471","3,842","3,463",379,"3,377",465,0,20,369,3094,96,283
2006,3,66.08,107.78,89.73,"10,879","3,618","1,378","1,531","17,406","3,914","3,499",415,"3,361",553,0,22,438,3061,115,300
2006,4,62.52,110.37,80.85,"9,770","3,185","2,413","1,264","16,632","3,786","3,354",432,"3,206",580,1,18,454,2900,126,306
2006,5,67.41,111.73,90.94,"11,476","3,468","2,003","1,702","18,649","3,230","2,817",413,"2,800",430,0,21,302,2515,128,285
2006,6,65.66,112.87,89.48,"10,589","4,256","1,792","1,684","18,321","3,779","3,353",426,"3,276",503,0,20,383,2970,120,306
2006,7,68.24,114.79,90.62,"10,847","4,352","2,303","1,644","19,146","3,908","3,382",526,"3,314",594,0,19,452,2930,142,384
2006,8,68.22,116.57,95.86,"12,799","4,263","2,956","1,741","21,759","3,899","3,418",481,"3,327",572,0,21,419,2999,153,328
2006,9,71.18,118.85,98.45,"14,187","4,911","2,670","1,818","23,586","3,845","3,341",504,"3,329",516,0,21,369,2972,147,357
2006,10,72.64,121.22,100.47,"14,882","5,347","3,344","1,833","25,406","3,622","3,103",519,"3,120",502,0,21,342,2761,160,359
2006,11,77.28,121.09,101.75,"14,319","5,765","2,491","1,842","24,417","3,125","2,691",434,"2,700",425,0,20,299,2392,126,308
2006,12,74.64,120.87,95.41,"13,311","5,112","1,239","1,456","21,118","2,946","2,447",499,"2,492",454,0,19,286,2161,168,331
2007,1,69.49,122.47,87.32,"12,698","4,671","3,547","1,713","22,629","4,303","3,816",487,"3,698",605,0,21,506,3310,99,388
2007,2,64.46,124.11,90.92,"14,096","4,653","2,506","1,869","23,124","3,969","3,505",464,"3,426",543,0,20,416,3089,127,337
2007,3,70.25,125.98,101.20,"13,504","4,086","1,617","2,054","21,261","4,337","3,880",457,"3,863",474,0,21,389,3491,85,372
2007,4,67.63,125.35,90.88,"14,779","4,563","3,311","1,934","24,587","4,120","3,691",429,"3,564",556,1,19,461,3230,95,334
2007,5,73.05,126.40,100.59,"17,018","4,965","2,454","1,776","26,213","4,280","3,880",400,"3,812",468,0,21,381,3499,87,313
2007,6,70.28,126.94,99.09,"16,035","4,752","2,713","1,754","25,254","4,391","3,863",528,"3,869",522,0,19,402,3461,120,408
2007,7,72.22,127.78,99.04,"16,039","5,392","2,365","1,751","25,547","4,416","3,951",465,"3,853",563,0,20,447,3504,116,349
2007,8,71.99,129.16,102.81,"17,319","5,315","2,574","1,724","26,932","4,164","3,723",441,"3,643",521,0,21,411,3312,110,331
2007,9,76.37,130.38,103.63,"17,067","5,468","1,894","1,761","26,190","4,349","3,847",502,"3,867",482,0,20,354,3493,128,374
2007,10,77.62,129.29,108.46,"16,343","5,238","3,282","1,863","26,726","4,130","3,738",392,"3,660",470,0,22,365,3373,105,287
2007,11,81.77,130.59,109.33,"17,566","5,921","2,808","2,047","28,342","3,867","3,409",458,"3,479",388,0,20,310,3099,78,380
2007,12,79.82,130.74,103.64,"15,873","5,948","2,184","1,731","25,736","3,999","3,407",592,"3,456",543,0,20,386,3021,157,435
2008,1,73.72,130.96,92.91,"10,440","4,725","1,857",878,"17,900","4,248","3,775",473,"3,591",657,0,21,466,3309,191,282
2008,2,69.30,131.19,98.09,"11,476","5,177","1,479","1,235","19,367","4,572","4,135",437,"3,991",581,0,21,414,3721,167,270
2008,3,71.14,132.85,93.25,"10,508","4,389","2,320","1,577","18,794","4,611","4,154",457,"3,931",680,1,18,510,3644,170,287
2008,4,72.81,131.88,100.26,"11,813","4,476","1,997","1,817","20,103","4,415","3,985",430,"3,937",478,0,22,355,3630,123,307
2008,5,75.92,131.68,96.70,"11,145","3,954","1,566","1,611","18,276","4,511","3,967",544,"3,890",621,0,19,386,3581,235,309
2008,6,72.12,133.45,93.57,"9,568","4,142","1,269",991,"15,970","4,624","4,172",452,"4,012",612,0,19,443,3729,169,283
